レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609161202,2026-09-16,12,02R,4898,0.156,0.1049,0.2071,3477,0.1828,0.1447,0.2209,4724,0.1744,0.1232,0.2256,3775,0.1642,0.123,0.2055,5285,0.1807,0.1362,0.2253,4287,0.1706,0.1292,0.212
202609161203,2026-09-16,12,03R,4579,0.1354,0.0975,0.1733,4253,0.1733,0.1391,0.2076,3957,0.172,0.1331,0.211,4311,0.1668,0.1252,0.2085,4416,0.1781,0.1335,0.2227,4060,0.1725,0.1326,0.2123
202609161204,2026-09-16,12,04R,3293,0.1745,0.1288,0.2202,5093,0.1927,0.1498,0.2356,4710,0.1211,0.0828,0.1595,4063,0.122,0.0805,0.1635,5321,0.2056,0.1608,0.2503,5110,0.1658,0.128,0.2036
202609161205,2026-09-16,12,05R,4401,0.1346,0.0933,0.1758,5187,0.2148,0.1664,0.2633,4626,0.1906,0.1426,0.2386,4875,0.1567,0.1154,0.198,3718,0.1744,0.1296,0.2192,4218,0.1719,0.1363,0.2074
202609161206,2026-09-16,12,06R,4727,0.1391,0.0926,0.1856,5285,0.1808,0.1363,0.2254,3471,0.1636,0.1185,0.2087,4724,0.1774,0.1262,0.2286,4260,0.1703,0.1303,0.2103,5043,0.1388,0.1037,0.1738
202609161207,2026-09-16,12,07R,4229,0.165,0.1276,0.2024,4404,0.2062,0.1631,0.2492,3775,0.1612,0.12,0.2025,3300,0.1591,0.1197,0.1985,3957,0.1779,0.139,0.2169,4624,0.1852,0.1358,0.2347
202609161208,2026-09-16,12,08R,5110,0.1449,0.1071,0.1827,4060,0.1591,0.1192,0.1989,5009,0.1808,0.1375,0.2242,4962,0.1491,0.1104,0.1878,3558,0.1672,0.1238,0.2105,4579,0.1563,0.1184,0.1942
202609161209,2026-09-16,12,09R,3757,0.1541,0.1106,0.1976,4416,0.1782,0.1336,0.2228,4375,0.1449,0.0967,0.1932,4679,0.1465,0.1085,0.1845,4253,0.1732,0.139,0.2075,3477,0.1962,0.1581,0.2343
202609161210,2026-09-16,12,10R,4710,0.1196,0.0813,0.158,4218,0.1585,0.1229,0.194,4063,0.119,0.0775,0.1605,4287,0.1542,0.1128,0.1956,4727,0.1465,0.1,0.193,4401,0.1555,0.1142,0.1967
202609161211,2026-09-16,12,11R,5043,0.1179,0.0828,0.1529,4624,0.1718,0.1224,0.2213,4311,0.1638,0.1222,0.2055,4898,0.1605,0.1094,0.2116,4229,0.1724,0.135,0.2098,3293,0.1954,0.1497,0.2411
202609161212,2026-09-16,12,12R,5158,0.1296,0.0902,0.169,4794,0.1366,0.1009,0.1723,4959,0.1296,0.0926,0.1666,3502,0.1606,0.1127,0.2086,5139,0.1639,0.1128,0.215,3654,0.1537,0.1131,0.1943
202609161301,2026-09-16,13,01R,4211,0.1177,0.0815,0.1538,3929,0.1518,0.1129,0.1907,4643,0.1291,0.0934,0.1648,5456,0.1565,0.112,0.2011,4782,0.2022,0.1481,0.2562,3566,0.194,0.1468,0.2412
202609161302,2026-09-16,13,02R,3372,0.1943,0.1553,0.2334,4057,0.151,0.1169,0.1851,3656,0.1862,0.1437,0.2286,4331,0.1405,0.0974,0.1835,3992,0.1585,0.1194,0.1977,5318,0.1953,0.1515,0.2391
202609161303,2026-09-16,13,03R,3687,0.1499,0.0921,0.2078,3949,0.1739,0.1269,0.221,3987,0.1624,0.122,0.2028,5421,0.2255,0.1728,0.2781,4641,0.2268,0.1828,0.2709,4061,0.1497,0.1152,0.1842
202609161304,2026-09-16,13,04R,4097,0.1889,0.139,0.2388,4409,0.161,0.123,0.199,4171,0.1712,0.1346,0.2077,3535,0.1856,0.1459,0.2252,3412,0.1534,0.1178,0.1889,4202,0.1851,0.1421,0.2281
202609161305,2026-09-16,13,05R,3908,0.14,0.1001,0.1798,5245,0.1716,0.1303,0.2128,5086,0.1835,0.14,0.227,5096,0.1373,0.1042,0.1705,4405,0.1724,0.1317,0.2131,4463,0.162,0.1296,0.1944
202609161306,2026-09-16,13,06R,4584,0.1215,0.0861,0.1569,3752,0.1499,0.113,0.1867,3891,0.1647,0.1267,0.2028,3562,0.1535,0.1146,0.1924,4818,0.1408,0.098,0.1836,4837,0.1628,0.1225,0.2032
202609161307,2026-09-16,13,07R,3690,0.1785,0.1373,0.2197,4025,0.1678,0.1276,0.2079,3685,0.2057,0.1513,0.26,4211,0.1222,0.086,0.1583,3372,0.2017,0.1627,0.2408,4403,0.1578,0.1168,0.1988
202609161308,2026-09-16,13,08R,3992,0.1511,0.112,0.1903,4402,0.154,0.1116,0.1964,4641,0.2209,0.1769,0.265,4446,0.1366,0.1031,0.1701,3874,0.1463,0.1076,0.1851,3929,0.1652,0.1263,0.2041
202609161309,2026-09-16,13,09R,3422,0.1439,0.1048,0.1829,3566,0.1806,0.1334,0.2278,4331,0.1375,0.0944,0.1805,3226,0.1665,0.1214,0.2117,3687,0.1573,0.0995,0.2152,4635,0.1351,0.0923,0.1778
202609161310,2026-09-16,13,10R,3562,0.149,0.1101,0.1879,4463,0.1486,0.1162,0.181,4782,0.1963,0.1422,0.2503,3987,0.1654,0.125,0.2058,4171,0.1771,0.1405,0.2136,3656,0.2056,0.1631,0.248
202609161311,2026-09-16,13,11R,3412,0.146,0.1104,0.1815,5096,0.1403,0.1072,0.1735,4837,0.1434,0.1031,0.1838,4057,0.148,0.1139,0.1821,3949,0.1738,0.1268,0.2209,4643,0.1485,0.1128,0.1842
202609161312,2026-09-16,13,12R,4446,0.1321,0.0986,0.1656,4061,0.1363,0.1018,0.1708,4584,0.123,0.0876,0.1584,4025,0.1648,0.1246,0.2049,3908,0.1474,0.1075,0.1872,4409,0.1744,0.1364,0.2124
202609161401,2026-09-16,14,01R,4413,0.1583,0.1227,0.1939,5341,0.1989,0.1435,0.2542,5370,0.1723,0.1229,0.2218,5039,0.1682,0.1216,0.2148,5471,0.1577,0.1056,0.2098,4636,0.1938,0.1513,0.2363
202609161402,2026-09-16,14,02R,5144,0.1588,0.1,0.2176,3578,0.1813,0.1387,0.224,3611,0.1332,0.0948,0.1716,3327,0.1775,0.1309,0.2241,4290,0.1212,0.082,0.1605,5403,0.1925,0.1534,0.2317
